destination_index,shortest_path_distance
5819,0.0
2,0.0058823529411764705
8089,0.006887378066804612
11214,0.006895524167113654
9615,0.006895524167113654
995,0.006900682880076674
19001,0.006900682880076674
11879,0.006900682880076674
7186,0.006910102170364548
9521,0.0069186223712282835
17029,0.006925105808746857
15781,0.006927285020591308
17009,0.006929473360024638
13742,0.006936093720944648
12043,0.00693831915025778
15919,0.006943924066441863
12044,0.006949588800301337
5438,0.0069507290095525386
47,0.006954164302376899
4404,0.0069553143145670284
12042,0.006963434022257552
10865,0.006965776559811357
336,0.006971677559912854
2635,0.006971677559912854
8824,0.006976444844896383
2679,0.006977643193093228
1586,0.006977643193093228
18578,0.006977643193093228
13462,0.006980047782010719
17814,0.00698246295217757
2660,0.006983674527079554
14416,0.006984888773591024
17540,0.0069873253168670785
9987,0.0069873253168670785
12627,0.006988547631441957
1806,0.006988547631441957
10021,0.006989772653247345
5369,0.006989772653247345
5083,0.006991000391287335
14072,0.006991000391287335
3515,0.006991000391287335
16173,0.006991000391287335
2063,0.006991000391287335
15578,0.006992230854605993
6782,0.006992230854605993
9321,0.006992230854605993
2171,0.006993464052287582
597,0.006993464052287582
7274,0.006993464052287582
9934,0.007003429174360327
10959,0.007094474153297683
421,0.007151388474171395
2584,0.007201614154896787
17777,0.00720335690418836
2638,0.007206856252434749
16966,0.007213910863946111
11303,0.00725976340949603
1092,0.007286847323198942
8526,0.007402109780082246
15613,0.007423184990483096
12703,0.007427947995272298
578,0.0074472981680935284
13041,0.007477249272914908
1491,0.0075030984841262275
14928,0.007508369201339072
11683,0.007516339869281046
1808,0.007546246451991779
10604,0.00758014581044642
6611,0.007597618807385733
4062,0.0076184640522875815
12697,0.007624513219922115
18781,0.007639822185464695
655,0.007646021371511567
16210,0.007646021371511567
4923,0.007655402586566541
3335,0.007664884135472371
9714,0.007671261706829422
8243,0.007671261706829422
9669,0.007674467636516972
4974,0.007674467636516972
12911,0.007690671205190937
6184,0.0076939471440750215
670,0.0076939471440750215
5056,0.007697234973844347
5066,0.007707170459424645
12967,0.0077273713913609725
13708,0.007730781776666304
9374,0.007734204793028322
4127,0.007737640510749755
16448,0.007737640510749755
10038,0.007741089000656024
6666,0.007741089000656024
18077,0.007741089000656024
15451,0.00774455033410012
5690,0.007765592112551235
1461,0.007769145394006659
12765,0.0077762923351158645
3465,0.007783493625587117
4035,0.007794398830277809
2228,0.007794398830277809
5375,0.007816588917965639
6719,0.00783547794117647
986,0.007839300103603085
2600,0.007846989483416156
14705,0.007850856878184344
4115,0.007854739528947673
551,0.007858637526156707
2790,0.00787438481368643
16459,0.00788235294117647
15545,0.00788235294117647
7713,0.007898481973434535
386,0.00790255496137849
15837,0.00790255496137849
4114,0.007919012818976877
10382,0.007919012818976877
16544,0.007923169267707083
12422,0.007931533269045324
8,0.007953912393108997
10600,0.007983193277310924
11058,0.007992057582526682
11888,0.00799651784603905
10078,0.00800099700897308
463,0.008010012515644555
1,0.008013245090574932
3123,0.008014549103223379
5680,0.008028275687957586
13013,0.008028275687957586
4700,0.008032890575585074
0,0.008052571516552727
5,0.008082788671023964
11370,0.008084996112982638
11264,0.008084996112982638
18777,0.008089858459940268
17549,0.008094742321707444
1276,0.00810952443338137
1261,0.008114495798319327
17408,0.008124505407544183
12848,0.008134605193428722
13015,0.008134605193428722
3165,0.008134605193428722
14410,0.008134605193428722
16970,0.008134605193428722
14104,0.008139689284291594
18085,0.008139689284291594
16844,0.008149926637321595
10274,0.008155080213903744
917,0.008160257269194693
6559,0.00816545796400752
12544,0.008170682460627271
14654,0.008170682460627271
2275,0.008181203515889114
7675,0.008197167755991285
3401,0.008202538556025658
10311,0.008207934336525308
18447,0.008207934336525308
9284,0.008213355272178802
3248,0.008218801539307312
12799,0.008240843507214206
17854,0.008257649853290486
2300,0.008257649853290486
5071,0.008257649853290486
4829,0.008263305322128852
12351,0.008268987786045207
11692,0.008268987786045207
12699,0.008280434475948652
14378,0.008280434475948652
2107,0.008286199095022624
